dataset,sensitive_feature,dataset_size,test_size,run_adv,rounds,local_epochs,client_num,batch_size,test_accuracy,M_deo,M_dpd
adult,marital-status,200,0.4,0.0,5,1,3,10,0.775,0.30346320346320343,0.058080808080808066
adult,marital-status,200,0.4,0.04,5,1,3,10,0.8625,0.4962406015037594,0.04999999999999999
adult,marital-status,200,0.4,0.08,5,1,3,10,0.7375,0.2594309462915601,0.03803997421018701
adult,marital-status,200,0.4,0.12,5,1,3,10,0.75,0.15916666666666668,0.0018761726078798668
adult,marital-status,200,0.4,0.16,5,1,3,10,0.675,0.16873336950063295,0.0856785490931832
adult,marital-status,200,0.4,0.2,5,1,3,10,0.775,0.11334805196697784,0.04999999999999993
adult,marital-status,200,0.4,0.24,5,1,3,10,0.825,0.05488064791133851,0.0
adult,marital-status,200,0.4,0.28,5,1,3,10,0.8125,0.4404761904761905,0.18095238095238092
adult,marital-status,200,0.4,0.32,5,1,3,10,0.6125,0.391559829059829,0.03258145363408521
adult,marital-status,200,0.4,0.36,5,1,3,10,0.775,0.37863756613756616,0.11879321181646765
adult,marital-status,200,0.4,0.4,5,1,3,10,0.725,0.5465587044534412,0.27619047619047615
adult,race,200,0.4,0.4,5,1,3,10,0.75,0.2523290986085905,0.14583333333333331
adult,race,200,0.4,0.44,5,1,3,10,0.7375,0.13353988810378267,0.0733333333333333
adult,race,200,0.4,0.48,5,1,3,10,0.7375,0.0714285714285714,0.02777777777777779
adult,race,200,0.4,0.52,5,1,3,10,0.8375,0.09755291005291006,0.010416666666666685
adult,race,200,0.4,0.56,5,1,3,10,0.5125,0.050000000000000044,0.024390243902439046
adult,race,200,0.4,0.6,5,1,3,10,0.775,0.5061813186813187,0.10000000000000003
adult,race,200,0.4,0.64,5,1,3,10,0.7375,0.23285714285714287,0.10869565217391303
adult,race,200,0.4,0.68,5,1,3,10,0.75,0.14204545454545459,0.07102451288497802
adult,race,200,0.4,0.72,5,1,3,10,0.7625,0.22681704260651625,0.06984126984126987
adult,race,200,0.4,0.76,5,1,3,10,0.8125,0.10023291925465833,0.0056568196103079504
adult,race,200,0.4,0.8,5,1,3,10,0.725,0.3651587301587301,0.03324808184143213
german_credit,sex,200,0.4,0.64,5,1,3,10,0.7,0.23020713302043228,0.125
german_credit,sex,200,0.4,0.68,5,1,3,10,0.5125,0.038277511961722493,0.002506265664160401
german_credit,sex,200,0.4,0.72,5,1,3,10,0.65,0.2735177865612648,0.05656819610307984
german_credit,sex,200,0.4,0.76,5,1,3,10,0.65,0.13011695906432746,0.018796992481202923
german_credit,sex,200,0.4,0.8,5,1,3,10,0.675,0.31736158578263834,0.13131313131313127
german_credit,sex,200,0.4,0.6,5,1,3,10,0.6125,0.256265664160401,0.07702435813034891
german_credit,sex,200,0.4,0.84,5,1,3,10,0.675,0.0984278879015722,0.046904315196998114
german_credit,sex,200,0.4,0.88,5,1,3,10,0.8,0.1454545454545454,0.013539651837524203
german_credit,sex,200,0.4,0.92,5,1,3,10,0.7375,0.6037687802393685,0.2692307692307693
german_credit,sex,200,0.4,0.96,5,1,3,10,0.6875,0.23436308161708616,0.003759398496240629
german_credit,sex,200,0.4,1.0,5,1,3,10,0.7375,0.29470588235294115,0.13533834586466165
german_credit,sex,200,0.4,1.0,5,1,3,10,0.7,0.20238095238095236,0.06349206349206349
german_credit,marital-status,200,0.4,0.8,5,1,3,50,0.675,0.18764302059496563,0.06265664160401008
german_credit,marital-status,200,0.4,0.84,5,1,3,50,0.45,0.02335839598997491,0.0012787723785165905
