dataset,sensitive_feature,dataset_size,test_size,run_adv,rounds,local_epochs,client_num,batch_size,test_accuracy,M_deo,M_dpd
german_credit,marital-status,1000,0.4,0.8,5,1,3,50,0.7075,0.17070737810238723,0.04862621565539138
bank_marketing,marital-status,1000,0.4,0.4,5,1,3,50,0.6175,0.1353846153846153,0.0273109243697478
bank_marketing,marital-status,1000,0.4,0.6,5,1,3,50,0.785,0.0709588521444191,0.0036795073965608
bank_marketing,marital-status,1000,0.4,0.64,5,1,3,50,0.7625,0.2351619339611164,0.1256625662566257
bank_marketing,marital-status,1000,0.4,0.68,5,1,3,50,0.7825,0.1283328194058999,0.0659230228117777
bank_marketing,marital-status,1000,0.4,0.72,5,1,3,50,0.7925,0.0756552365351126,0.0358974358974358
bank_marketing,marital-status,1000,0.4,0.76,5,1,3,50,0.7675,0.1426111846697533,0.0694402267435975
bank_marketing,marital-status,1000,0.4,0.8,5,1,3,50,0.7875,0.2202181703328491,0.1081324622662761
bank_marketing,marital-status,1000,0.4,0.84,5,1,3,50,0.8225,0.2060712339064172,0.0707070707070707
bank_marketing,marital-status,1000,0.4,0.88,5,1,3,50,0.6875,0.1075158902969731,0.0521013025325632
bank_marketing,marital-status,1000,0.4,0.92,5,1,3,50,0.7825,0.1081772620281584,0.0487743557510998
bank_marketing,marital-status,1000,0.4,0.96,5,1,3,50,0.72,0.182594839154245,0.0905448717948717
bank_marketing,marital-status,1000,0.4,1.0,5,1,3,50,0.7775,0.1204154400927149,0.0240384615384615
bank_marketing,education,1000,0.4,0.2,5,1,3,50,0.7725,0.1202322155292452,0.0601626016260162
bank_marketing,education,1000,0.4,0.24,5,1,3,50,0.6075,0.0647160998228851,0.0084916088835292
bank_marketing,education,1000,0.4,0.28,5,1,3,50,0.6075,0.1612079935061302,0.0655076529973195
bank_marketing,education,1000,0.4,0.32,5,1,3,50,0.65,0.0555011510351725,0.0145090681676047
bank_marketing,education,1000,0.4,0.36,5,1,3,50,0.755,0.076701075090096,0.0172288764972119
bank_marketing,education,1000,0.4,0.4,5,1,3,50,0.635,0.1106638682068408,0.0530013250331258
